5.09,0.10,3742,0,6743
4.95,1.66,3639,103,6743
4.76,2.53,3502,240,6743
4.51,3.36,3319,422,6743
4.23,4.09,3115,627,6743
4.02,4.57,2960,782,6743
4.01,4.60,2947,795,6743
4.11,4.37,3026,716,6743
4.26,4.03,3132,610,6743
4.39,3.69,3231,511,6743
4.48,3.44,3298,444,6743
4.50,3.40,3309,433,6743
4.41,3.65,3244,498,6743
4.21,4.14,3099,643,6743
3.92,4.78,2887,855,6743
3.57,5.45,2628,1114,6743
3.22,6.05,2368,1374,6743
3.06,6.31,2250,1492,6743
3.31,5.91,2433,1309,6743
3.67,5.28,2698,1044,6743
4.00,4.63,2939,803,6743
4.25,4.07,3123,619,6743
4.40,3.68,3234,508,6743
4.45,3.55,3271,471,6743
4.29,3.95,3157,585,6743
4.15,4.28,3056,687,6743
4.03,4.54,2968,774,6743
4.02,4.58,2955,787,6743
4.19,4.19,3083,659,6743
4.46,3.51,3282,460,6743
4.71,2.70,3468,274,6743
5.09,0.11,3742,0,6743
