0,67.4
5,67.4
10,65.1
15,67.2
20,69.3
25,65.8
30,69.5
35,70.3
40,72.5
45,84.0
50,77.2
55,77.6
60,74.6
65,78.8
70,76.4
75,71.5
80,71.3
85,71.4
90,84.5
95,81.6
100,69.9
105,66.6
110,65.8
115,71.5
120,65.4
125,61.1
130,66.2
135,66.0
140,71.7
145,70.6
150,66.6
155,70.2
160,69.8
165,74.2
170,81.7
175,79.3
180,74.0
185,69.7
190,69.4
195,72.5
200,69.6
205,68.8
210,70.6
215,60.6
220,67.2
225,72.3
230,72.0
235,68.0
240,69.3
245,69.5
250,79.6
255,66.8
260,73.0
265,68.9
270,74.2
275,84.4
280,74.0
285,82.5
290,75.7
295,72.2
